Label	Weight	Text
l_VAPOCen_Calendar	12.21883	when do i have free time today
l_VAPOCen_Calendar	12.21883	book a meeting with toby tomorrow at 8pm
l_VAPOCen_Calendar	12.21883	message bob and tell him to postpone the meeting because i ' m going to be 30 minutes late
l_VAPOCen_Calendar	12.21883	add an event
l_VAPOCen_Calendar	12.21883	what ' s next on my calendar
l_VAPOCen_Calendar	12.21883	i want to take a look at the attendee list
l_VAPOCen_Calendar	12.21883	please inform work contact group that i am running late for the meeting
l_VAPOCen_Calendar	12.21883	add event to calendar
l_VAPOCen_Calendar	12.21883	clear all of my appointments
l_VAPOCen_Calendar	12.21883	book a conference room
l_VAPOCen_Calendar	12.21883	where shall we meet
l_VAPOCen_Calendar	12.21883	when is my meeting with timo
l_VAPOCen_Calendar	12.21883	find me tickets for deftones at pnc
l_VAPOCen_Calendar	12.21883	delay the next meeting by 30 minutes
l_VAPOCen_Calendar	12.21883	what ' s on my schedule for tomorrow
l_VAPOCen_Calendar	12.21883	check my calendar
l_VAPOCen_Calendar	12.21883	what ' s on my calendar today
l_VAPOCen_Calendar	12.21883	change my 8 till 9 appointment to 11 till 12
l_VAPOCen_Calendar	12.21883	change my dentist appointment
l_VAPOCen_Calendar	12.21883	change 4pm lunch appointment
l_VAPOCen_Calendar	12.21883	what time do i have work tomorrow
l_VAPOCen_Calendar	12.21883	update my camping appointment
l_VAPOCen_Calendar	12.21883	email andy check
l_VAPOCen_Calendar	12.21883	where am i going tonight
l_VAPOCen_Calendar	12.21883	what is jim 's schedule this week
l_VAPOCen_Calendar	12.21883	help me to book a meeting room from 10am to 3pm
l_VAPOCen_Calendar	12.21883	cancel my meeting at shanghai on monday at 10am
l_VAPOCen_Calendar	12.21883	where am i going this weekend
l_VAPOCen_Calendar	12.21883	none
l_VAPOCen_Calendar	12.21883	alert quality control meeting participants that i am 15 minutes late
l_VAPOCen_Calendar	12.21883	when is my next event
l_VAPOCen_Calendar	12.21883	when is jose available tomorrow
l_VAPOCen_Calendar	12.21883	change event time
l_VAPOCen_Calendar	12.21883	where ' s my meeting
l_VAPOCen_Calendar	12.21883	can you update a meeting
l_VAPOCen_Calendar	12.21883	changecalendarentry
l_VAPOCen_Calendar	12.21883	remove final tutoring from my calendar
l_VAPOCen_Calendar	12.21883	read the first
l_VAPOCen_Calendar	12.21883	am i free on saturday
l_VAPOCen_Calendar	12.21883	update my appointment
l_VAPOCen_Calendar	12.21883	i want to create a meeting at 6
l_VAPOCen_Calendar	12.21883	tell me about my next meeting
l_VAPOCen_Calendar	12.21883	what ' s my schedule for tomorrow
l_VAPOCen_Calendar	12.21883	will erica be coming to the meeting
l_VAPOCen_Calendar	12.21883	join my meeting
l_VAPOCen_Calendar	12.21883	cancel my appointment at 9 pm
l_VAPOCen_Calendar	12.21883	make an appointment
l_VAPOCen_Calendar	12.21883	read the second
l_VAPOCen_Calendar	12.21883	cancel my appointment
l_VAPOCen_Calendar	12.21883	is my lunch long enough for errands
l_VAPOCen_Calendar	12.21883	is mitch free on friday at 4pm
l_VAPOCen_Calendar	12.21883	where do i have to be today
l_VAPOCen_Calendar	12.21883	remind all attendees of tomorrow ' s lunch that we have changed the venue
l_VAPOCen_Calendar	12.21883	who is participating tomorrow at 2 pm meeting
l_VAPOCen_Calendar	12.21883	let ' s book two tickets for the international library
l_VAPOCen_Calendar	12.21883	can you tell me if my husband is free on sunday
l_VAPOCen_Calendar	12.21883	join lync meeting
l_VAPOCen_Calendar	12.21883	is joe attending the meeting
l_VAPOCen_Calendar	12.21883	create a meeting with xiash@microsoft.com
l_VAPOCen_Calendar	12.21883	move my 12 pm meeting to 2
l_VAPOCen_Calendar	12.21883	can you cancel the 1st one
l_VAPOCen_Calendar	12.21883	how long is the movie jurassic world
l_VAPOCen_Calendar	12.21883	modify the meeting
l_VAPOCen_Calendar	12.21883	what ' s after that on my calendar
l_VAPOCen_Calendar	12.21883	change the end time is my 3 o'clock meeting to 3 30 pm
l_VAPOCen_Calendar	12.21883	when do i meet with jerry
l_VAPOCen_Calendar	12.21883	add me to conference call
l_VAPOCen_Calendar	12.21883	create all day appointment on sunday
l_VAPOCen_Calendar	12.21883	what is the location of next meeting
l_VAPOCen_Calendar	12.21883	add vacation to my calendar it s from july 6th for 2 weeks
l_VAPOCen_Calendar	12.21883	schedule a meeting on nov. 3 from 3pm - 4pm
l_VAPOCen_Calendar	12.21883	where am i on may the twenty first
l_VAPOCen_Calendar	12.21883	what do i have from 2 to 4 on saturday
l_VAPOCen_Calendar	12.21883	will tony be at my next meeting
l_VAPOCen_Calendar	12.21883	please advise i am late for 3 pm meeting
l_VAPOCen_Calendar	12.21883	add swimming to tomorrow
l_VAPOCen_Calendar	12.21883	email morris trip itinerary
l_VAPOCen_Calendar	12.21883	change marathon training from 8:00 am to 1:00 pm
l_VAPOCen_Calendar	12.21883	create an appointment at 5
l_VAPOCen_Calendar	12.21883	when is my 1st meeting tomorrow
l_VAPOCen_Calendar	12.21883	when am i watching england
l_VAPOCen_Calendar	12.21883	please tell me how long i have for lunch
l_VAPOCen_Calendar	12.21883	did mark sign up to the tomorrow ' s meeting
l_VAPOCen_Calendar	12.21883	test
l_VAPOCen_Calendar	12.21883	next
l_VAPOCen_Calendar	12.21883	who is the 2 pm meeting with
l_VAPOCen_Calendar	12.21883	change lunch appt to 2
l_VAPOCen_Calendar	12.21883	am i busy this weekend
